Origin,Category,Employer / programme,Geography,Classification,Salary evidence result,Discovery / verification source,Notes,Source URL
Seed,Technology / fintech,BK TechHouse,Rwanda,Salary source unavailable,No public role-specific pay located in this pass,Official/company and Rwanda ecosystem search,Comparable technical employer; retain for continued monitoring.,https://www.bktechouse.rw/
Seed,Banking / digital,Bank of Kigali / BK Group,Rwanda,Salary source unavailable,No public comparable salary located,Official careers / local search,Technical and project roles relevant; pay unpublished.,https://bk.rw/
Seed,Banking / digital,I&M Bank Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official careers / local search,Comparable digital/data employer.,https://www.imbankgroup.com/rw/
Seed,Banking / digital,Equity Bank Rwanda,Rwanda,Salary source unavailable,No Rwanda-specific comparable pay located,Official careers / local search,Regional technology employer.,https://equitygroupholdings.com/rw/
Seed,Banking / digital,BPR Bank Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official careers / local search,Comparable technology/data employer.,https://www.bpr.rw/
Seed,Banking / digital,KCB Rwanda,Rwanda,Included — salary evidence,Glassdoor shows Kigali Operations Manager around RWF 1M/mo for KCB,Glassdoor company result,Company-specific employee-reported evidence; sample details limited.,https://www.glassdoor.com/Salaries/kigali-operations-manager-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C25.htm
Seed,Banking / digital,Access Bank Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official careers / local search,Comparable technology/data employer.,https://rwanda.accessbankplc.com/
Seed,Banking / digital,Cogebanque,Rwanda,Salary source unavailable,No public comparable salary located,Official/company search,Comparable digital employer.,https://www.cogebanque.co.rw/
Seed,Banking / digital,NCBA Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official/company search,Comparable digital employer.,https://ncbagroup.com/rw/
Seed,Digital services,RwandaOnline,Rwanda,Salary source unavailable,No public comparable salary located,RDB/ICT ecosystem search,Public-service platform employer; monitor.,https://www.rwandaonline.rw/
Seed,Mobility / payments,AC Group,Rwanda,Salary source unavailable,No public comparable salary located,RDB/ICT ecosystem search,Mobility/technology comparator.,https://acgroup.rw/
Seed,Innovation ecosystem,Norrsken Rwanda,Rwanda,Included — ecosystem evidence,"No salary; 1,400+ member technology hub",Official Norrsken source,"Strong discovery channel, not a pay source.",https://www.norrsken.org/houses/kigali
Seed,Innovation ecosystem,kLab-linked companies,Rwanda,Included — ecosystem evidence,No single salary source,ICT Chamber / DBI ecosystem,Use as employer-discovery channel.,https://www.ictchamber.rw/membership
Seed,Innovation ecosystem,250 Startups portfolio,Rwanda,Included — ecosystem evidence,No single salary source,ICT Chamber ecosystem / portfolio search,Use as startup discovery source.,https://250.rw/
Seed,Ecosystem directory,Rwanda ICT Chamber members,Rwanda,Included — ecosystem evidence,No single salary source,Official membership ecosystem,"Covers fintech, infrastructure, drones, AI, hardware, healthtech and more.",https://www.ictchamber.rw/membership
Seed,Ecosystem directory,RDB technology/investment ecosystem,Rwanda,Included — ecosystem evidence,No single salary source,Official RDB ICT page,"Supports market demand in app integration, consulting, software R&D and ICT skills.",https://rdb.rw/investment-opportunities/ict/
Seed,Telecom,MTN Rwanda,Rwanda,Included — salary evidence,Glassdoor NOC Engineer company example ~RWF 2M/mo; Project Manager ~RWF 3M/mo,Glassdoor + RURA,"Employee-reported, sample details limited.",https://www.glassdoor.com/Salaries/kigali-noc-engineer-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C19.htm
Seed,Telecom,Airtel Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,RURA operator directory,Officially identified telecom operator; salary unpublished.,https://www.rura.rw/sectors/ict/faqs
Seed,Telecom / infrastructure,Liquid Intelligent Technologies Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,RURA spectrum/operator source,Infrastructure employer; salary unpublished.,https://liquid.tech/
Seed,Telecom / infrastructure,KT Rwanda Networks (KTRN),Rwanda,Included — salary evidence,Glassdoor NOC Engineer company example ~RWF 399K/mo,Glassdoor + RURA,Small employee-reported evidence.,https://www.glassdoor.com/Salaries/kigali-noc-engineer-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C19.htm
Seed,Utilities / energy,Rwanda Energy Group entities,Rwanda,Salary source unavailable,No public comparable salary located,Official vacancy pages,Engineering/operations scope comparator.,https://www.reg.rw/public-information/jobs/vacancies/
Seed,Aviation,RwandAir,Rwanda,Salary source unavailable,No public comparable salary located,Official careers search,Flight/maintenance/technical-operations comparator.,https://www.rwandair.com/about-us/careers/
Seed,Aviation,Rwanda Airports Company,Rwanda,Salary source unavailable,No public comparable salary located,Official/company search,Technical and operational employer.,https://www.rac.co.rw/
Seed,Telecom legacy,Rwandatel-related infrastructure records,Rwanda,Screened but not comparable,Legacy entity; no current employer salary benchmark,RURA/industry records,Do not use as current compensation evidence.,https://www.rura.rw/sectors/ict/faqs
Seed,Mobility / climate tech,Ampersand,Rwanda / East Africa,Salary source unavailable,No public comparable salary located,Official careers/company search,"EV, battery, fleet and technical operations comparator.",https://www.ampersand.solar/
Seed,Energy / climate tech,Bboxx,Rwanda / Africa,Salary source unavailable,No public comparable salary located,Official careers search,Energy technology and operations comparator.,https://www.bboxx.com/careers
Seed,Energy / climate tech,Mobisol-related employers,Rwanda / Africa,Screened but not comparable,Brand/employer history changed; no current direct salary source,Company-history search,Use current successor/employer identities instead of legacy brand.,https://engie-energyaccess.com/
Seed,Space / remote sensing,Rwanda Space Agency,Rwanda,Salary source unavailable,No public comparable salary located,Official agency search,"Relevant for geospatial, remote sensing, systems and data roles.",https://space.gov.rw/
Seed,Drone training / aviation,African Drone and Data Academy,Africa,Salary source unavailable,No public comparable salary located,Program/academy search,"Training/program scope comparator, not a salary source.",https://adda-malawi.org/
Seed,Health / development,CHAI Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official careers search,AI/data/technical-advisor and public-health delivery roles.,https://www.clintonhealthaccess.org/careers/
Seed,Public health,Rwanda Biomedical Centre,Rwanda,Salary source unavailable,No public comparable salary located,Official vacancies search,Health-data and technical-program employer.,https://rbc.gov.rw/
Seed,Digital health,Babyl Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official/company search,Digital-health technology comparator.,https://www.babyl.rw/
Seed,Digital health / logistics,Kasha,Rwanda / Africa,Salary source unavailable,No public comparable salary located,Official careers search,Data/logistics/technology comparator.,https://www.kasha.co/
Seed,Health tech,mPharma,Africa,Salary source unavailable,No public Rwanda-specific comparable salary located,Official careers search,Regional technology and operations comparator.,https://mpharma.com/careers/
Seed,Development finance,World Bank / IFC Rwanda technical programmes,Rwanda,Salary source unavailable,Pay structures not directly comparable to local private market,Official careers/program pages,Scope evidence only; different compensation architecture.,https://www.worldbank.org/en/about/careers
Seed,International development,UN and development-technology programmes,Rwanda,Screened but not comparable,UN salary scales differ materially from private market,Official UN careers,Do not blend directly with private-company salaries.,https://careers.un.org/
Seed,Remote talent,Turing,Global remote,Salary source unavailable,Project compensation varies,Official talent platform,Remote technical market channel.,https://www.turing.com/jobs
Seed,Remote talent,Toptal,Global remote,Salary source unavailable,Freelancer rates are individualized,Official talent platform,"Contract-market channel, not employee salary.",https://www.toptal.com/talent/apply
Seed,Remote employment,Deel,Global,Salary source unavailable,No Rwanda-specific comparable pay located,Official careers search,Remote-employment infrastructure employer.,https://www.deel.com/careers/
Seed,Remote employment,Remote,Global,Salary source unavailable,No Rwanda-specific comparable pay located,Official careers search,Remote-employment employer.,https://remote.com/openings
Seed,Startup jobs,Wellfound companies hiring in Africa,Global / Africa,Included — discovery source,Pay varies by company and posting,Job marketplace,Discovery channel; verify each employer posting.,https://wellfound.com/jobs
Seed,Remote delivery,BairesDev,Global remote,Salary source unavailable,No role-specific Rwanda pay located,Official careers,Global remote employer; monitor.,https://www.bairesdev.com/careers/
Seed,Cloud / open source,Canonical,Global / Africa remote,Salary source unavailable,Salary not consistently published,Official careers,Strong role-scope comparator for global remote engineering/operations.,https://canonical.com/careers
Seed,Remote software,GitLab,Global remote,Salary source unavailable,Location-based ranges vary,Official careers,Global remote engineering benchmark channel.,https://about.gitlab.com/jobs/
Seed,Remote software,Automattic,Global remote,Salary source unavailable,Ranges vary by role/location,Official careers,Global remote employer.,https://automattic.com/work-with-us/
Seed,Open-source / technology,Mozilla,Global,Salary source unavailable,No Rwanda-specific comparable salary located,Official careers,Technical employer; geography varies.,https://www.mozilla.org/en-US/careers/
Seed,AI task platform,DataAnnotation,Remote; limited country eligibility,Included — contract-rate evidence,"RWF 36,598–51,238/hr generalist; RWF 73,197–146,393+/hr expert advertised (USD->RWF conversion)",Official platform directory,"Contract market, not salaried employment.",https://www.dataannotation.tech/language-directory
Seed,AI data platform,Scale AI,Global / US-heavy,Salary source unavailable,No Rwanda-specific comparable pay located,Official careers,AI-data employer; geography varies.,https://scale.com/careers
